name,major,score,activity,achievement,nonacademic_achievement,accept_status
Fay Massey,ipa,86,Yes,Yes,No,Yes
Rebecca Sullivan,ipa,85,No,Yes,Yes,Yes
Lamar Dillard,ipa,86,Yes,Yes,No,Yes
Honorato Love,ips,94,No,No,Yes,No
Tobias Brennan,ips,90,Yes,No,Yes,No
Aphrodite Randolph,ipa,89,Yes,Yes,No,No
Harriet O'Neill,ipa,97,Yes,No,No,Yes
Rafael Dunlap,ipa,82,Yes,Yes,Yes,Yes
Hammett Tyson,ipa,85,Yes,No,No,Yes
Uriel Bradford,ipa,93,Yes,No,No,No
Stone Shields,ips,95,No,No,No,No
Talon Valdez,ipa,93,Yes,Yes,Yes,No
Owen Wagner,ips,89,No,Yes,Yes,No
Roth Gregory,ips,95,Yes,Yes,Yes,Yes
Damon Peters,ips,92,Yes,No,Yes,No
Nicole Castro,ipa,94,Yes,Yes,No,No
Gary Green,ipa,93,Yes,No,Yes,No
Vivian Quinn,ipa,86,No,Yes,Yes,Yes
Kenyon Bolton,ipa,97,Yes,Yes,Yes,Yes
Chastity Kelly,ipa,88,Yes,No,Yes,No
Aquila Juarez,ips,87,Yes,Yes,Yes,Yes
Fleur Burns,ipa,81,Yes,Yes,No,Yes
Mohammad Butler,ips,93,No,Yes,Yes,No
Genevieve Castro,ipa,97,No,No,Yes,Yes
Rebekah Yang,ips,81,No,No,No,No
Margaret Mcintosh,ips,84,No,Yes,Yes,Yes
Rhonda Hurst,ipa,87,No,No,No,Yes
Lareina Workman,ipa,87,No,Yes,Yes,Yes
Porter Fitzgerald,ips,84,Yes,No,Yes,Yes
Brenda Hatfield,ipa,94,No,Yes,Yes,No
Oren Kerr,ips,97,No,Yes,Yes,Yes
Alec Terrell,ips,86,No,No,Yes,Yes
Stacy Cardenas,ips,96,No,No,No,No
Thaddeus Lambert,ipa,96,No,Yes,No,Yes
Chelsea Wilcox,ipa,90,Yes,No,No,No
Winifred Chen,ipa,94,Yes,Yes,No,No
Thor Nash,ips,87,No,No,No,Yes
Bradley Yang,ipa,81,No,No,No,Yes
Kirsten Jacobson,ipa,94,Yes,Yes,Yes,No
Azalia Hooper,ipa,96,No,No,No,No
Nathaniel Hardy,ipa,86,No,Yes,No,Yes
Noble Gilliam,ipa,91,No,Yes,Yes,No
Shay Simpson,ipa,94,No,No,No,No
Signe Griffin,ips,81,Yes,No,Yes,Yes
Camilla Leon,ipa,81,Yes,Yes,Yes,Yes
Quon Patterson,ipa,96,Yes,No,No,Yes
Harlan Curry,ipa,86,Yes,No,No,Yes
Genevieve Garrett,ips,97,No,No,Yes,Yes
Kaseem Hale,ipa,91,No,No,No,No
Hollee Whitfield,ips,88,No,No,No,No
Adam Ferrell,ipa,98,No,No,No,No
Lois Hogan,ipa,84,No,Yes,No,Yes
Hamilton Richmond,ipa,98,No,No,No,No
Damian Payne,ipa,96,No,No,Yes,No
Ferris Russell,ips,88,Yes,Yes,Yes,No
Nyssa Logan,ipa,94,No,Yes,No,No
Ezra Harmon,ips,93,Yes,No,Yes,No
Thaddeus Callahan,ips,80,Yes,No,No,Yes
Ivana Thompson,ipa,88,No,Yes,No,No
Ginger Beasley,ipa,89,Yes,No,No,No
Lael Pittman,ips,95,No,Yes,No,No
Price Boyer,ipa,87,Yes,Yes,Yes,Yes
Wayne Garza,ipa,87,No,Yes,Yes,Yes
Eric Bradford,ips,81,No,No,Yes,Yes
Lewis Solomon,ips,86,Yes,Yes,No,Yes
Chava Hendricks,ips,81,Yes,No,Yes,Yes
Kirestin Castillo,ips,95,No,Yes,No,No
Porter Mcmahon,ips,80,No,No,No,Yes
Willow Bowman,ipa,87,No,Yes,No,Yes
Paki Bridges,ips,83,Yes,Yes,No,Yes
Ira Fernandez,ipa,88,Yes,Yes,No,No
Gavin Burks,ips,96,Yes,Yes,No,No
Vladimir Flores,ips,87,No,Yes,No,Yes
Daphne Downs,ipa,91,Yes,No,No,No
Roanna Mullins,ipa,87,Yes,No,Yes,Yes
Shana Palmer,ipa,87,Yes,No,No,Yes
Imogene Holden,ips,88,No,No,No,No
Cheyenne Hewitt,ipa,83,Yes,Yes,No,Yes
Sasha Daniels,ipa,90,No,No,No,No
Alma Whitehead,ips,97,Yes,No,No,Yes
Gareth Lowe,ips,81,Yes,Yes,No,Yes
Ivor Key,ipa,86,No,Yes,Yes,Yes
Samson Gay,ips,89,Yes,Yes,No,No
Christen Murphy,ipa,84,No,Yes,No,Yes
Haviva Le,ipa,81,Yes,No,No,Yes
Jillian Snyder,ips,84,No,No,No,Yes
Lana Mckenzie,ipa,84,Yes,No,Yes,Yes
Andrew Howe,ipa,87,No,No,Yes,Yes
Pearl Valenzuela,ips,89,No,Yes,Yes,No
Anika Dillard,ips,93,Yes,Yes,Yes,No
Martha Snyder,ips,95,Yes,Yes,No,Yes
Jack Burgess,ips,90,No,Yes,Yes,No
Lani Nolan,ips,81,Yes,No,No,Yes
Joan Kelley,ips,83,No,No,Yes,Yes
Theodore Sharpe,ips,82,No,No,Yes,Yes
Sigourney Mcdonald,ipa,97,Yes,Yes,Yes,No
Echo Fisher,ips,95,Yes,Yes,Yes,No
Cruz Maddox,ipa,85,Yes,Yes,Yes,Yes
Ignacia Levy,ipa,80,No,Yes,No,Yes
Nora Douglas,ips,83,Yes,No,No,Yes
Amos Munoz,ipa,88,Yes,No,No,Yes
Shannon Hammond,ipa,93,No,Yes,Yes,No
Allen Potter,ips,82,Yes,No,No,Yes
Calvin Hubbard,ipa,91,No,Yes,No,No
Ahmed Rhodes,ipa,88,Yes,Yes,No,No
Selma Mccullough,ips,98,Yes,No,Yes,No
Lee Meyer,ips,97,No,No,No,Yes
Glenna Cannon,ipa,95,No,No,No,Yes
Plato Gray,ipa,95,No,No,Yes,Yes
Priscilla Hess,ipa,84,No,No,No,Yes
Yoko Holland,ipa,98,No,Yes,Yes,No
Quintessa Black,ipa,82,No,Yes,Yes,Yes
Garrison Sykes,ipa,88,No,No,Yes,No
Rhona Cervantes,ipa,82,No,No,No,Yes
Kareem Berg,ips,87,No,No,No,Yes
Emily Hancock,ips,96,Yes,No,No,Yes
Ivor Olson,ipa,89,No,No,Yes,No
Cally Gilliam,ips,80,No,Yes,Yes,Yes
Karly Merrill,ipa,90,Yes,Yes,Yes,No
Alvin Bowman,ips,94,Yes,Yes,Yes,No
Maxine Cooke,ipa,95,No,Yes,No,No
Jordan Richards,ips,81,No,Yes,No,Yes
Orlando Slater,ips,81,No,No,No,Yes
Mufutau David,ips,89,Yes,Yes,Yes,No
Axel Perry,ips,96,No,No,No,No
Oren Lester,ipa,97,Yes,No,Yes,Yes
Robert Roach,ipa,96,Yes,No,No,Yes
Trevor Fitzgerald,ipa,82,No,No,No,Yes
Gwendolyn Hendrix,ips,98,No,Yes,No,Yes
Jillian Barlow,ipa,93,No,No,Yes,No
David Murray,ips,86,No,Yes,No,Yes
Howard Guthrie,ips,82,No,No,No,Yes
Keefe Mcneil,ips,90,No,No,No,No
Cassidy Lang,ips,93,No,No,Yes,No
Raya Chang,ips,85,Yes,No,No,Yes
Marshall Burnett,ips,83,Yes,No,No,Yes
Gary Conner,ipa,92,No,Yes,Yes,No
Nelle Oliver,ipa,80,Yes,No,No,Yes
Karly Boone,ipa,89,No,No,No,No
Lee Chapman,ipa,84,No,Yes,Yes,Yes
Logan Townsend,ips,96,No,No,No,No
Denise Reynolds,ipa,89,Yes,Yes,Yes,No
Curran Tyler,ips,96,Yes,Yes,Yes,No
Caesar Stark,ips,90,Yes,No,Yes,No
Lane Moss,ips,93,Yes,Yes,Yes,No
Macaulay Webster,ips,84,Yes,Yes,Yes,Yes
Flynn Maxwell,ips,97,Yes,No,Yes,No
Patricia Frederick,ipa,83,Yes,Yes,No,Yes
Duncan Vance,ips,86,Yes,Yes,No,Yes
Len Buchanan,ipa,89,Yes,No,Yes,No
Signe Nolan,ipa,98,Yes,Yes,No,No
Kermit Saunders,ipa,89,No,Yes,No,Yes
Tyrone Austin,ips,85,No,Yes,No,Yes
Cyrus Hobbs,ipa,83,No,No,No,Yes
Hedley Glenn,ipa,92,Yes,Yes,No,No
Lucas Cruz,ips,98,Yes,Yes,No,No
Arthur Norris,ips,84,No,No,No,Yes
Maya Acosta,ipa,91,No,No,Yes,No
Nash Weaver,ipa,88,Yes,Yes,No,No
Todd Downs,ipa,88,Yes,No,No,Yes
Kessie Dillard,ipa,93,No,Yes,No,Yes
Lars Carroll,ips,81,No,Yes,Yes,Yes
Aretha O'brien,ips,82,Yes,No,No,Yes
Robin Irwin,ips,84,Yes,Yes,No,Yes
Kai Morales,ips,87,No,Yes,No,Yes
Alexander Callahan,ipa,97,Yes,No,No,Yes
Amethyst Little,ipa,94,Yes,No,Yes,No
Wanda Mcmillan,ips,89,Yes,No,No,Yes
Bruce Swanson,ips,87,No,No,No,Yes
Burton Farmer,ips,90,Yes,No,Yes,Yes
Lawrence Parsons,ipa,84,Yes,Yes,Yes,Yes
Hannah Cooke,ipa,81,No,No,Yes,Yes
Dalton Alexander,ips,84,Yes,Yes,Yes,Yes
Zeus Logan,ipa,81,Yes,No,Yes,Yes
Cedric Valentine,ipa,84,Yes,Yes,No,Yes
Warren Logan,ipa,84,Yes,No,No,Yes
Rinah Ewing,ips,92,Yes,Yes,No,No
Benedict Cote,ips,91,Yes,No,No,No
